radionuclide,CL_lim,TFA_dt,FMA_dt,FMA_ct,FMA_lim,FMA_alpha,LNC_std,LNC_cern
Bk-250,10.0,0.0,0.0,0,0.0,0,0.0,0.435
Br-74,10.0,0.0,0.0,0,0.0,0,0.0,1.23
Br-74m,10.0,0.0,0.0,0,0.0,0,0.0,1.51
Br-75,10.0,0.0,0.0,0,0.0,0,0.0,0.707
Br-76,10.0,0.0,0.0,0,0.0,0,0.0,1.08
Br-77,10.0,0.0,1.0,0,0.0,1,0.0,0.178
Br-80,100.0,0.0,0.0,0,0.0,0,0.0,0.0448
Br-80m,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Br-82,1.0,0.0,1.0,0,0.0,1,0.0,1.36
Br-83,1000.0,0.0,0.0,0,0.0,0,0.0,0.00417
Br-84,10.0,0.0,0.0,0,0.0,0,0.0,0.444
C-11,10.0,0.0,0.0,0,0.0,0,0.0,0.62
C-14,1.0,0.1,1.0,3700,92000.0,1,0.0,0.0
Ca-41,100.0,0.01,0.0001,0,300000.0,1,0.0,0.0
Ca-45,100.0,0.0,0.0,0,0.0,0,0.0,0.0
Ca-47,10.0,0.0,0.0,0,0.0,0,0.0,0.379
Cd-104,100.0,0.0,0.0,0,0.0,0,0.0,0.114
Cd-107,1000.0,0.0,0.0,0,0.0,0,0.0,0.00261
Cd-109,1.0,10.0,1.0,0,0.0,1,0.0,0.0
Cd-113,0.1,0.0,0.0,0,0.0,0,0.0,0.0
Cd-113m,0.1,10.0,1.0,0,0.0,1,0.0,4e-05
Cd-115,10.0,0.0,0.0,0,0.0,0,0.0,0.116
Cd-115m,100.0,0.0,0.0,0,0.0,0,0.0,0.0154
Cd-117,10.0,0.0,0.0,0,0.0,0,0.0,0.446
Cd-117m,10.0,0.0,0.0,0,0.0,0,0.0,0.715
Ce-134,1000.0,0.0,0.0,0,0.0,0,0.0,0.00058
Ce-135,10.0,0.0,0.0,0,0.0,0,0.0,0.442
Ce-137,1000.0,0.0,0.0,0,0.0,0,0.0,0.0062
Ce-137m,100.0,0.0,0.0,0,0.0,0,0.0,0.0184
Ce-139,1.0,0.0,0.0,0,0.0,0,0.0,0.0437
Ce-141,100.0,0.0,0.0,0,0.0,0,0.0,0.0177
Ce-143,10.0,0.0,0.0,0,0.0,0,0.0,0.14
Ce-144,10.0,1.0,1.0,9000,88000000.0,1,0.024,0.00286
Cf-244,10000.0,0.0,0.0,0,0.0,0,0.0,0.0
Cf-246,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Cf-248,1.0,1.0,0.1,3700,0.0,3,0.0,0.0
Cf-249,0.1,0.1,0.1,3700,0.0,2,0.0,0.188
Cf-250,1.0,0.1,0.1,3700,0.0,3,0.0,0.0
Cf-251,0.1,0.1,0.1,3700,0.0,2,0.0,0.0247
Cf-252,1.0,0.1,0.1,3700,0.0,3,0.0,0.0
Cf-253,100.0,0.0,0.0,0,0.0,0,0.0,0.0
Cf-254,1.0,0.0,0.0,0,0.0,0,0.0,0.0
Cl-36,1.0,0.01,0.01,0,5.0,1,0.0,9e-05
Cl-38,10.0,0.0,0.0,0,0.0,0,0.0,0.368
Cl-39,10.0,0.0,0.0,0,0.0,0,0.0,0.545
Cm-238,100.0,0.0,0.0,0,0.0,0,0.0,0.0
Cm-240,100.0,0.0,0.0,0,0.0,0,0.0,0.0
Cm-241,10.0,0.0,0.0,0,0.0,0,0.0,0.242
Cm-242,10.0,0.0,0.0,0,0.0,0,0.0,0.0
Cm-243,1.0,0.1,0.1,3700,0.0,3,0.0,0.0381
Cm-244,1.0,0.1,0.1,3700,0.0,3,0.0,0.0
Cm-245,0.1,0.1,0.1,3700,0.0,2,0.0,0.00881
Cm-246,0.1,0.1,0.1,3700,0.0,2,0.0,0.0
Cm-247,0.1,0.1,0.1,3700,0.0,2,0.0,0.185
Cm-248,0.1,0.1,0.1,3700,0.0,2,0.0,0.0
Cm-249,1000.0,0.0,0.0,0,0.0,0,0.0,0.011
Cm-250,0.01,0.01,0.1,3700,0.0,2,0.0,0.0
Co-55,10.0,0.0,0.0,0,0.0,0,0.0,1.05
Co-56,0.1,0.0,0.0,0,0.0,0,1.15,1.24
Co-57,1.0,1.0,1.0,0,0.0,1,0.0169,0.0167
Co-58,1.0,0.0,0.0,0,0.0,0,0.552,0.542
Co-58m,10000.0,0.0,0.0,0,0.0,0,0.0,0.0
Co-60,0.1,0.1,10.0,3700,130000000.0,1,1.0,0.998
Co-60m,1000.0,0.0,0.0,0,0.0,0,0.0,0.00123
Co-61,100.0,0.0,0.0,0,0.0,0,0.0,0.0207
Co-62m,10.0,0.0,0.0,0,0.0,0,0.0,1.02
Cr-48,10.0,0.0,0.0,0,0.0,0,0.0,0.189
Cr-49,10.0,0.0,0.0,0,0.0,0,0.0,0.59
Cr-51,100.0,0.0,0.0,0,0.0,0,0.0249,0.0181
Cs-125,10.0,0.0,0.0,0,0.0,0,0.0,0.416
Cs-126,100.0,0.0,0.0,0,0.0,0,0.0,0.67
Cs-127,100.0,0.0,0.0,0,0.0,0,0.0,0.232
Cs-128,100.0,0.0,0.0,0,0.0,0,0.0,0.526
Cs-129,10.0,0.0,0.0,0,0.0,0,0.0,0.146
Cs-130,100.0,0.0,0.0,0,0.0,0,0.0,0.292
